Expert_ID,Name,P_Doom_Estimate_Qualitative,P_Doom_Lower_Bound_Percent,P_Doom_Upper_Bound_Percent,Estimate_Confidence_Qualitative,Stated_Time_Horizon_Raw,Primary_Estimate_Horizon_Year,P_Doom_Estimate_By_2035_Percent,P_Doom_Estimate_By_2050_Percent,P_Doom_Estimate_By_2100_Percent,Reasoning_Categories,Reasoning_Summary,Source_URL,Estimate_Date,Interpretation_Notes
80,Mark Zuckerberg,"Low (Focus on Metaverse/Connectivity?)",1,10,Low,"Implied Century",2100,1,3,5,"Metaverse, Social Tech","Meta CEO, focus on social tech/metaverse, less public emphasis on AGI x-risk",https://about.fb.com/news/,2023-01,"Estimate uncertain ('?'), bounds reflect focus area suggesting lower perceived AGI x-risk. Used 5% midpoint for 2100."
81,Reid Hoffman,"Low-Moderate?",5,25,Low,"Implied Century",2100,3,8,15,"Human Amplification, Co-evolution","Investor/Entrepreneur (LinkedIn), sees AI as amplifying humans, co-evolution",https://www.linkedin.com/in/reidhoffman/,2023-04,"Estimate uncertain ('?'), bounds reflect optimistic 'amplification' view but acknowledges risks. Used 15% midpoint for 2100."
82,Vinod Khosla,"Low?",0,5,Low,"Unspecified/Long",2100,0,0,1,"Techno-Optimism, Acceleration","Investor, strong techno-optimist, advocates rapid AI development",https://khoslaventures.com/blog/,2023-05,"Estimate uncertain ('?'), bounds reflect extreme techno-optimism. Used 1% midpoint for 2100."
86,Nando de Freitas,"Moderate Concern?",10,30,Low,"Implied Century",2100,5,10,20,"Scaling Laws, AGI Path (DeepMind)","AI Researcher (DeepMind), focus on scaling, believes 'game is over' for AGI via scale",https://twitter.com/NandoDF/status/1524784531785797633,2022-05,"Estimate uncertain ('?'), bounds reflect AGI confidence implying risks need solving. Used 20% midpoint for 2100."
87,Jeff Clune,"Moderate Concern?",10,30,Low,"Implied Century",2100,5,10,20,"Open-Endedness, AI Generating Algorithms","AI Researcher (formerly OpenAI/Uber, now UBC), focus on open-ended algorithms",https://arxiv.org/abs/1905.10985,2019-05,"Estimate uncertain ('?'), bounds reflect research on powerful AI methods suggesting risk awareness. Used 20% midpoint for 2100."
88,Kenneth Stanley,"Low (Focus on Novelty?)",1,10,Low,"Implied Century",2100,1,3,5,"Open-Endedness, Novelty Search","AI Researcher (formerly OpenAI/Uber), focus on novelty search, less on goal optimization",https://eplex.cs.ucf.edu/noveltysearch/userspage/,2020-01,"Estimate uncertain ('?'), bounds reflect focus on less 'convergent' AI paths, maybe lower risk perception. Used 5% midpoint for 2100."
89,Robert Miles,"Moderate Concern",10,30,Medium,"Implied Century",2100,3,10,20,"AI Safety Communicator","Science communicator (YouTube channel 'Robert Miles') specializing in AI safety concepts",https://www.youtube.com/c/RobertMilesAI,2023-01,"Bounds based on tenor of educational content explaining significant AI risks. Used 20% midpoint for 2100."
90,Neel Nanda,"Moderate Concern",10,30,Medium,"Implied Decades/Century",2070,5,10,20,"Mechanistic Interpretability Research","AI Safety Researcher focused on understanding internal workings of models",https://neelnanda.io/,2023-06,"Bounds reflect focus on critical safety area (interpretability) suggesting awareness of significant risk if unsolved. Used 20% midpoint."
91,Chris Olah,"Moderate Concern",10,30,Medium,"Implied Century",2100,5,10,20,"Interpretability, Safety Research (Anthropic)","AI Safety Researcher (Anthropic, formerly Google/OpenAI) focused on interpretability",https://distill.pub/authors/chris-olah/,2022-09,"Bounds reflect pioneering work in interpretability for safety, implies significant risk focus. Used 20% midpoint for 2100."
92,Rumman Chowdhury,"Low (Focus on Ethics/Bias)",0,5,Medium,"Implied Century",2100,0,1,3,"Responsible AI, Ethics, Bias","Responsible AI advocate, focuses on present harms, ethics, algorithmic bias",https://www.rummanchowdhury.com/,2023-02,"Bounds reflect primary focus on ethics/bias, lower stated concern for speculative x-risk. Used 3% midpoint for 2100."
93,Meredith Whittaker,"Low (Focus on Power/Labor)",0,5,Medium,"Implied Century",2100,0,1,3,"AI Power Concentration, Labor Impacts","President of Signal, critical of concentrated tech power and AI's impact on labor",https://www.meredithwhittaker.org/,2023-03,"Bounds reflect focus on social/political/economic harms rather than AI x-risk itself. Used 3% midpoint for 2100."
94,Eric Horvitz,"Low-Moderate?",5,20,Low,"Implied Century",2100,2,5,10,"Human-AI Collaboration, Safety (Microsoft)","Chief Scientific Officer Microsoft, long history in AI, focus on beneficial AI",https://www.microsoft.com/en-us/research/people/horvitz/,2022-11,"Estimate uncertain ('?'), bounds reflect focus on safety/benefits within large corp context. Used 10% midpoint for 2100."
95,Susan Schneider,"Moderate Concern?",10,30,Low,"Implied Century",2100,3,10,20,"AI Consciousness, Alien Minds","Philosopher/Cognitive Scientist, explores AI consciousness and its implications",https://schneiderwebsite.com/,2019-09,"Estimate uncertain ('?'), bounds reflect philosophical exploration of deep AI issues suggesting risk awareness. Used 20% midpoint for 2100."
96,Gerd Gigerenzer,"Low (Focus on Human Decision Making)",1,10,Low,"Unspecified",2100,0,1,5,"Risk Literacy, Simple Heuristics","Psychologist focused on human rationality and risk literacy, critical of AI hype",https://www.mpib-berlin.mpg.de/employees/gerd-gigerenzer,2021-08,"Estimate uncertain ('?'), bounds reflect focus on human fallibility vs AI perfection, skepticism of AI superiority claims. Used 5% midpoint for 2100."
97,Shoshana Zuboff,"Moderate Concern (Surveillance Capitalism)",5,20,Medium,"Implied Century",2100,2,5,10,"Surveillance Capitalism, Control","Author 'Age of Surveillance Capitalism', concerned about AI enabling corporate/state control",https://shoshanazuboff.com/,2019-01,"Bounds reflect concern focused on societal control/freedom risks enabled by AI, not necessarily AI agency x-risk. Used 10% midpoint for 2100."
98,James Lovelock (deceased),"Low?",0,5,Low,"Unspecified/Long",2100,0,1,2,"Gaia Hypothesis, AI as Successor?","Originator of Gaia Hypothesis, saw potential AI succession calmly",https://www.theguardian.com/environment/2019/jun/18/james-lovelock-the-biosphere-and-i-are-both-in-our-hundreds,2019-06,"Estimate uncertain ('?'), based on late-life views seeing AI as potential evolutionary step. Low 'doom' probability from human perspective. Used 2% midpoint."
99,Seth Baum,"Moderate Concern",10,25,Medium,"Implied Century",2100,3,8,15,"Global Catastrophic Risk Analyst","Executive Director of GCRI, analyzes various GCRs including AI",https://gcrinstitute.org/seth-baum/,2022-07,"Bounds reflect professional focus on GCRs, giving AI significant weight. Used 15% midpoint for 2100."
100,Robin Hanson,"Low (Focus on Brain Emulations 'Ems')",1,10,Medium,"Implied Century (Post-Em)",2100,1,2,5,"Brain Emulation, Future Economies","Economist/Futurist, detailed analysis of 'Age of Em', sees AI risk differently",https://www.overcomingbias.com/,2016-05,"Bounds reflect focus on 'Em' scenario, where risks differ from standard AGI x-risk narratives. Used 5% midpoint for 2100 (as proxy)."
